Epoch 1/1000 | SDE training launched
Iteration 1/20 | SDE loss = 1.907e+02, MSE = 1.865e-02, exotic = 7.0840e-01, time = 2.04
Iteration 2/20 | SDE loss = 1.093e+02, MSE = 1.075e-02, exotic = 6.2047e-01, time = 1.52
Iteration 3/20 | SDE loss = 6.884e+01, MSE = 6.788e-03, exotic = 4.9920e-01, time = 1.53
Iteration 4/20 | SDE loss = 3.978e+01, MSE = 3.922e-03, exotic = 4.0407e-01, time = 1.53
Iteration 5/20 | SDE loss = 1.824e+01, MSE = 1.785e-03, exotic = 3.5440e-01, time = 1.52
Iteration 6/20 | SDE loss = 8.265e+00, MSE = 7.962e-04, exotic = 2.9682e-01, time = 1.52
Iteration 7/20 | SDE loss = 3.943e+00, MSE = 3.700e-04, exotic = 2.4212e-01, time = 1.52
Iteration 8/20 | SDE loss = 1.562e+00, MSE = 1.358e-04, exotic = 2.0344e-01, time = 1.52
Iteration 9/20 | SDE loss = 6.545e-01, MSE = 4.582e-05, exotic = 1.9635e-01, time = 1.52
Iteration 10/20 | SDE loss = 7.019e-01, MSE = 5.415e-05, exotic = 1.6037e-01, time = 1.53
Iteration 11/20 | SDE loss = 1.182e+00, MSE = 1.037e-04, exotic = 1.4483e-01, time = 1.53
Iteration 12/20 | SDE loss = 1.708e+00, MSE = 1.571e-04, exotic = 1.3663e-01, time = 1.52
Iteration 13/20 | SDE loss = 2.464e+00, MSE = 2.341e-04, exotic = 1.2224e-01, time = 1.52
Iteration 14/20 | SDE loss = 3.165e+00, MSE = 3.040e-04, exotic = 1.2477e-01, time = 1.53
Iteration 15/20 | SDE loss = 3.602e+00, MSE = 3.490e-04, exotic = 1.1084e-01, time = 1.52
Iteration 16/20 | SDE loss = 3.797e+00, MSE = 3.689e-04, exotic = 1.0715e-01, time = 1.53
Iteration 17/20 | SDE loss = 4.180e+00, MSE = 4.075e-04, exotic = 1.0394e-01, time = 1.52
Iteration 18/20 | SDE loss = 4.123e+00, MSE = 4.025e-04, exotic = 9.6050e-02, time = 1.52
Iteration 19/20 | SDE loss = 4.390e+00, MSE = 4.284e-04, exotic = 1.0421e-01, time = 1.52
