Epoch 1/1000 | SDE training launched
Iteration 1/20 | SDE loss = 7.958e-03, MSE = 7.958e-03, exotic = 4.2552e-01, time = 2.04
Iteration 2/20 | SDE loss = 5.056e-03, MSE = 5.056e-03, exotic = 3.6164e-01, time = 1.24
Iteration 3/20 | SDE loss = 2.371e-03, MSE = 2.371e-03, exotic = 2.9564e-01, time = 1.22
Iteration 4/20 | SDE loss = 1.168e-03, MSE = 1.168e-03, exotic = 2.4089e-01, time = 1.22
Iteration 5/20 | SDE loss = 4.184e-04, MSE = 4.184e-04, exotic = 2.0695e-01, time = 1.22
Iteration 6/20 | SDE loss = 1.457e-04, MSE = 1.457e-04, exotic = 1.8071e-01, time = 1.25
Iteration 7/20 | SDE loss = 4.740e-05, MSE = 4.740e-05, exotic = 1.5215e-01, time = 1.31
Iteration 8/20 | SDE loss = 3.200e-05, MSE = 3.200e-05, exotic = 1.3923e-01, time = 1.19
Iteration 9/20 | SDE loss = 5.269e-05, MSE = 5.269e-05, exotic = 1.2424e-01, time = 1.21
Iteration 10/20 | SDE loss = 1.224e-04, MSE = 1.224e-04, exotic = 1.1553e-01, time = 1.28
Iteration 11/20 | SDE loss = 1.679e-04, MSE = 1.679e-04, exotic = 1.0919e-01, time = 1.29
Iteration 12/20 | SDE loss = 2.141e-04, MSE = 2.141e-04, exotic = 1.0417e-01, time = 1.26
Iteration 13/20 | SDE loss = 2.569e-04, MSE = 2.569e-04, exotic = 9.4864e-02, time = 1.36
Iteration 14/20 | SDE loss = 2.615e-04, MSE = 2.615e-04, exotic = 9.5494e-02, time = 1.32
Iteration 15/20 | SDE loss = 2.723e-04, MSE = 2.723e-04, exotic = 9.5853e-02, time = 1.31
Iteration 16/20 | SDE loss = 2.900e-04, MSE = 2.900e-04, exotic = 9.4556e-02, time = 1.22
Iteration 17/20 | SDE loss = 3.003e-04, MSE = 3.003e-04, exotic = 9.5856e-02, time = 1.35
Iteration 18/20 | SDE loss = 2.420e-04, MSE = 2.420e-04, exotic = 9.5551e-02, time = 1.32
Iteration 19/20 | SDE loss = 2.283e-04, MSE = 2.283e-04, exotic = 9.8013e-02, time = 1.25
Iteration 20/20 | SDE loss = 2.082e-04, MSE = 2.082e-04, exotic = 9.9930e-02, time = 1.22
Epoch 1/1000 | SDE average MSE = 9.907e-04, time = 26.08
Epoch 1/1000 | CV training launched
Iteration 1/20 | CV loss = 1.561e+00, time = 1.00
Iteration 2/20 | CV loss = 1.474e+00, time = 0.99
Iteration 3/20 | CV loss = 1.405e+00, time = 0.99
Iteration 4/20 | CV loss = 1.335e+00, time = 0.98
Iteration 5/20 | CV loss = 1.295e+00, time = 0.97
Iteration 6/20 | CV loss = 1.252e+00, time = 1.01
Iteration 7/20 | CV loss = 1.229e+00, time = 1.05
Iteration 8/20 | CV loss = 1.185e+00, time = 1.02
Iteration 9/20 | CV loss = 1.159e+00, time = 1.06
Iteration 10/20 | CV loss = 1.130e+00, time = 0.99
Iteration 11/20 | CV loss = 1.104e+00, time = 0.99
Iteration 12/20 | CV loss = 1.058e+00, time = 0.97
Iteration 13/20 | CV loss = 1.057e+00, time = 0.97
Iteration 14/20 | CV loss = 1.016e+00, time = 0.97
Iteration 15/20 | CV loss = 1.013e+00, time = 0.97
Iteration 16/20 | CV loss = 9.881e-01, time = 0.99
Iteration 17/20 | CV loss = 9.820e-01, time = 1.04
Iteration 18/20 | CV loss = 9.515e-01, time = 1.00
Iteration 19/20 | CV loss = 9.311e-01, time = 0.95
Iteration 20/20 | CV loss = 9.242e-01, time = 1.04
Epoch 1/1000 | CV average loss = 1.153e+00, time = 19.97
Epoch 1/1000 | elapsed time = 46.05
Epoch 2/1000 | SDE training launched
Iteration 1/20 | SDE loss = 1.788e-04, MSE = 1.788e-04, exotic = 1.0656e-01, time = 1.30
Iteration 2/20 | SDE loss = 1.669e-04, MSE = 1.669e-04, exotic = 1.1059e-01, time = 1.29
Iteration 3/20 | SDE loss = 1.392e-04, MSE = 1.392e-04, exotic = 1.1393e-01, time = 1.29
Iteration 4/20 | SDE loss = 1.083e-04, MSE = 1.083e-04, exotic = 1.1883e-01, time = 1.41
Iteration 5/20 | SDE loss = 8.467e-05, MSE = 8.467e-05, exotic = 1.2405e-01, time = 1.30
Iteration 6/20 | SDE loss = 6.156e-05, MSE = 6.156e-05, exotic = 1.2748e-01, time = 1.22
Iteration 7/20 | SDE loss = 4.713e-05, MSE = 4.713e-05, exotic = 1.3512e-01, time = 1.23
Iteration 8/20 | SDE loss = 3.942e-05, MSE = 3.942e-05, exotic = 1.3867e-01, time = 1.35
Iteration 9/20 | SDE loss = 3.831e-05, MSE = 3.831e-05, exotic = 1.4479e-01, time = 1.44
Iteration 10/20 | SDE loss = 4.050e-05, MSE = 4.050e-05, exotic = 1.4962e-01, time = 1.27
Iteration 11/20 | SDE loss = 5.247e-05, MSE = 5.247e-05, exotic = 1.5210e-01, time = 1.25
Iteration 12/20 | SDE loss = 6.132e-05, MSE = 6.132e-05, exotic = 1.5597e-01, time = 1.24
Iteration 13/20 | SDE loss = 5.573e-05, MSE = 5.573e-05, exotic = 1.5938e-01, time = 1.26
Iteration 14/20 | SDE loss = 7.370e-05, MSE = 7.370e-05, exotic = 1.6090e-01, time = 1.27
Iteration 15/20 | SDE loss = 7.067e-05, MSE = 7.067e-05, exotic = 1.6271e-01, time = 1.27
Iteration 16/20 | SDE loss = 6.824e-05, MSE = 6.824e-05, exotic = 1.6246e-01, time = 1.27
Iteration 17/20 | SDE loss = 5.966e-05, MSE = 5.966e-05, exotic = 1.5780e-01, time = 1.38
Iteration 18/20 | SDE loss = 5.249e-05, MSE = 5.249e-05, exotic = 1.5882e-01, time = 1.26
Iteration 19/20 | SDE loss = 4.290e-05, MSE = 4.290e-05, exotic = 1.5653e-01, time = 1.25
Iteration 20/20 | SDE loss = 3.806e-05, MSE = 3.806e-05, exotic = 1.5500e-01, time = 1.25
Epoch 2/1000 | SDE average MSE = 7.400e-05, time = 25.79
Epoch 2/1000 | CV training launched
Iteration 1/20 | CV loss = 1.578e+00, time = 1.00
Iteration 2/20 | CV loss = 1.532e+00, time = 1.04
Iteration 3/20 | CV loss = 1.532e+00, time = 0.99
Iteration 4/20 | CV loss = 1.467e+00, time = 1.00
Iteration 5/20 | CV loss = 1.437e+00, time = 1.00
Iteration 6/20 | CV loss = 1.437e+00, time = 1.01
Iteration 7/20 | CV loss = 1.415e+00, time = 0.99
Iteration 8/20 | CV loss = 1.384e+00, time = 1.03
Iteration 9/20 | CV loss = 1.352e+00, time = 1.00
Iteration 10/20 | CV loss = 1.334e+00, time = 1.03
Iteration 11/20 | CV loss = 1.288e+00, time = 1.00
Iteration 12/20 | CV loss = 1.264e+00, time = 1.03
Iteration 13/20 | CV loss = 1.251e+00, time = 1.01
Iteration 14/20 | CV loss = 1.213e+00, time = 1.01
Iteration 15/20 | CV loss = 1.206e+00, time = 0.99
Iteration 16/20 | CV loss = 1.158e+00, time = 0.96
Iteration 17/20 | CV loss = 1.124e+00, time = 0.98
Iteration 18/20 | CV loss = 1.079e+00, time = 0.98
Iteration 19/20 | CV loss = 1.076e+00, time = 1.04
Iteration 20/20 | CV loss = 1.036e+00, time = 1.04
Epoch 2/1000 | CV average loss = 1.308e+00, time = 20.11
Epoch 2/1000 | elapsed time = 45.90
Epoch 3/1000 | SDE training launched
Iteration 1/20 | SDE loss = 3.128e-05, MSE = 3.128e-05, exotic = 1.5126e-01, time = 1.27
Iteration 2/20 | SDE loss = 2.970e-05, MSE = 2.970e-05, exotic = 1.5000e-01, time = 1.26
Iteration 3/20 | SDE loss = 3.037e-05, MSE = 3.037e-05, exotic = 1.4887e-01, time = 1.26
Iteration 4/20 | SDE loss = 2.913e-05, MSE = 2.913e-05, exotic = 1.4801e-01, time = 1.26
Iteration 5/20 | SDE loss = 2.930e-05, MSE = 2.930e-05, exotic = 1.4773e-01, time = 1.26
Iteration 6/20 | SDE loss = 2.979e-05, MSE = 2.979e-05, exotic = 1.4796e-01, time = 1.26
Iteration 7/20 | SDE loss = 3.023e-05, MSE = 3.023e-05, exotic = 1.4840e-01, time = 1.26
Iteration 8/20 | SDE loss = 3.132e-05, MSE = 3.132e-05, exotic = 1.4965e-01, time = 1.30
Iteration 9/20 | SDE loss = 2.686e-05, MSE = 2.686e-05, exotic = 1.5127e-01, time = 1.30
Iteration 10/20 | SDE loss = 2.812e-05, MSE = 2.812e-05, exotic = 1.5334e-01, time = 1.31
Iteration 11/20 | SDE loss = 2.393e-05, MSE = 2.393e-05, exotic = 1.5592e-01, time = 1.26
Iteration 12/20 | SDE loss = 2.228e-05, MSE = 2.228e-05, exotic = 1.5846e-01, time = 1.30
Iteration 13/20 | SDE loss = 2.127e-05, MSE = 2.127e-05, exotic = 1.6151e-01, time = 1.26
Iteration 14/20 | SDE loss = 2.178e-05, MSE = 2.178e-05, exotic = 1.6404e-01, time = 1.24
