Epoch 1/1000 | SDE training launched
Iteration 1/20 | SDE loss = 4.528e+02, MSE = 4.346e-02, exotic = 7.7878e-01, time = 1.52
Iteration 2/20 | SDE loss = 3.463e+02, MSE = 3.357e-02, exotic = 7.0247e-01, time = 1.47
Iteration 3/20 | SDE loss = 2.669e+02, MSE = 2.607e-02, exotic = 5.9275e-01, time = 1.47
Iteration 4/20 | SDE loss = 2.073e+02, MSE = 2.037e-02, exotic = 5.4937e-01, time = 1.47
Iteration 5/20 | SDE loss = 1.593e+02, MSE = 1.574e-02, exotic = 4.9279e-01, time = 1.47
Iteration 6/20 | SDE loss = 1.251e+02, MSE = 1.240e-02, exotic = 4.4254e-01, time = 1.47
Iteration 7/20 | SDE loss = 9.333e+01, MSE = 9.287e-03, exotic = 4.0423e-01, time = 1.47
Iteration 8/20 | SDE loss = 7.161e+01, MSE = 7.147e-03, exotic = 3.6934e-01, time = 1.47
Iteration 9/20 | SDE loss = 5.404e+01, MSE = 5.409e-03, exotic = 3.4246e-01, time = 1.47
Iteration 10/20 | SDE loss = 4.182e+01, MSE = 4.196e-03, exotic = 3.1579e-01, time = 1.46
Iteration 11/20 | SDE loss = 3.121e+01, MSE = 3.141e-03, exotic = 2.9509e-01, time = 1.47
Iteration 12/20 | SDE loss = 2.368e+01, MSE = 2.389e-03, exotic = 2.7582e-01, time = 1.51
Iteration 13/20 | SDE loss = 1.591e+01, MSE = 1.614e-03, exotic = 2.5769e-01, time = 1.51
Iteration 14/20 | SDE loss = 1.237e+01, MSE = 1.260e-03, exotic = 2.4339e-01, time = 1.52
Iteration 15/20 | SDE loss = 8.657e+00, MSE = 8.878e-04, exotic = 2.2914e-01, time = 1.53
Iteration 16/20 | SDE loss = 6.025e+00, MSE = 6.236e-04, exotic = 2.1440e-01, time = 1.52
Iteration 17/20 | SDE loss = 4.473e+00, MSE = 4.675e-04, exotic = 2.0509e-01, time = 1.50
Iteration 18/20 | SDE loss = 3.275e+00, MSE = 3.472e-04, exotic = 1.9748e-01, time = 1.50
Iteration 19/20 | SDE loss = 2.345e+00, MSE = 2.532e-04, exotic = 1.8758e-01, time = 1.51
Iteration 20/20 | SDE loss = 1.676e+00, MSE = 1.861e-04, exotic = 1.8486e-01, time = 1.53
Epoch 1/1000 | SDE average MSE = 9.441e-03, time = 29.84
Epoch 2/1000 | CV training launched
Iteration 1/20 | CV loss = 4.797e+00, time = 1.11
Iteration 2/20 | CV loss = 4.491e+00, time = 1.11
