Epoch 1/1000 | SDE training launched
Iteration 1/20 | SDE loss = 1.878e+02, MSE = 1.838e-02, exotic = 6.4909e-01, time = 1.20
Iteration 2/20 | SDE loss = 1.202e+02, MSE = 1.182e-02, exotic = 5.5921e-01, time = 0.78
Iteration 3/20 | SDE loss = 6.550e+01, MSE = 6.461e-03, exotic = 4.7213e-01, time = 0.78
Iteration 4/20 | SDE loss = 3.765e+01, MSE = 3.711e-03, exotic = 4.0221e-01, time = 0.79
Iteration 5/20 | SDE loss = 2.137e+01, MSE = 2.097e-03, exotic = 3.5506e-01, time = 0.81
Iteration 6/20 | SDE loss = 1.021e+01, MSE = 9.896e-04, exotic = 3.0725e-01, time = 0.79
Iteration 7/20 | SDE loss = 4.825e+00, MSE = 4.554e-04, exotic = 2.6820e-01, time = 0.80
Iteration 8/20 | SDE loss = 1.858e+00, MSE = 1.616e-04, exotic = 2.4183e-01, time = 0.85
Iteration 9/20 | SDE loss = 9.882e-01, MSE = 7.714e-05, exotic = 2.1678e-01, time = 0.77
Iteration 10/20 | SDE loss = 6.507e-01, MSE = 4.525e-05, exotic = 1.9821e-01, time = 0.77
Iteration 11/20 | SDE loss = 9.960e-01, MSE = 8.143e-05, exotic = 1.8156e-01, time = 0.77
Iteration 12/20 | SDE loss = 1.480e+00, MSE = 1.314e-04, exotic = 1.6623e-01, time = 0.80
Iteration 13/20 | SDE loss = 2.079e+00, MSE = 1.924e-04, exotic = 1.5416e-01, time = 0.78
Iteration 14/20 | SDE loss = 2.520e+00, MSE = 2.373e-04, exotic = 1.4682e-01, time = 0.78
Iteration 15/20 | SDE loss = 2.909e+00, MSE = 2.767e-04, exotic = 1.4168e-01, time = 0.79
Iteration 16/20 | SDE loss = 3.168e+00, MSE = 3.031e-04, exotic = 1.3603e-01, time = 0.80
Iteration 17/20 | SDE loss = 3.423e+00, MSE = 3.291e-04, exotic = 1.3177e-01, time = 0.78
Iteration 18/20 | SDE loss = 3.631e+00, MSE = 3.502e-04, exotic = 1.2774e-01, time = 0.81
Iteration 19/20 | SDE loss = 3.948e+00, MSE = 3.820e-04, exotic = 1.2674e-01, time = 0.79
Iteration 20/20 | SDE loss = 4.020e+00, MSE = 3.892e-04, exotic = 1.2686e-01, time = 0.78
Epoch 1/1000 | SDE average MSE = 2.344e-03, time = 16.24
Epoch 2/1000 | CV training launched
Iteration 1/20 | CV loss = 1.372e+00, time = 0.80
Iteration 2/20 | CV loss = 1.294e+00, time = 0.80
Iteration 3/20 | CV loss = 1.239e+00, time = 0.81
Iteration 4/20 | CV loss = 1.174e+00, time = 0.81
Iteration 5/20 | CV loss = 1.118e+00, time = 0.80
Iteration 6/20 | CV loss = 1.075e+00, time = 0.81
