Epoch 1/1000 | SDE training launched
Iteration 1/20 | SDE loss = 1.090e+03, MSE = 9.931e-02, exotic = 1.3189e+00, time = 0.78
Iteration 2/20 | SDE loss = 8.214e+02, MSE = 7.639e-02, exotic = 8.6441e-01, time = 0.77
Iteration 3/20 | SDE loss = 6.738e+02, MSE = 6.344e-02, exotic = 8.2663e-01, time = 0.77
Iteration 4/20 | SDE loss = 4.935e+02, MSE = 4.720e-02, exotic = 7.0422e-01, time = 0.77
Iteration 5/20 | SDE loss = 3.589e+02, MSE = 3.475e-02, exotic = 6.0130e-01, time = 0.77
Iteration 6/20 | SDE loss = 2.788e+02, MSE = 2.720e-02, exotic = 5.2961e-01, time = 0.76
Iteration 7/20 | SDE loss = 1.942e+02, MSE = 1.910e-02, exotic = 4.5743e-01, time = 0.76
Iteration 8/20 | SDE loss = 1.270e+02, MSE = 1.258e-02, exotic = 4.0620e-01, time = 0.80
Iteration 9/20 | SDE loss = 9.045e+01, MSE = 8.999e-03, exotic = 3.5326e-01, time = 0.78
Iteration 10/20 | SDE loss = 6.350e+01, MSE = 6.341e-03, exotic = 3.1186e-01, time = 0.78
Iteration 11/20 | SDE loss = 4.057e+01, MSE = 4.068e-03, exotic = 2.7583e-01, time = 0.78
Iteration 12/20 | SDE loss = 2.579e+01, MSE = 2.596e-03, exotic = 2.3961e-01, time = 0.78
Iteration 13/20 | SDE loss = 1.719e+01, MSE = 1.737e-03, exotic = 2.1434e-01, time = 0.81
Iteration 14/20 | SDE loss = 9.749e+00, MSE = 9.937e-04, exotic = 1.9717e-01, time = 0.80
Iteration 15/20 | SDE loss = 6.162e+00, MSE = 6.332e-04, exotic = 1.7475e-01, time = 0.81
Iteration 16/20 | SDE loss = 3.516e+00, MSE = 3.677e-04, exotic = 1.6236e-01, time = 0.79
Iteration 17/20 | SDE loss = 2.338e+00, MSE = 2.487e-04, exotic = 1.4936e-01, time = 0.77
Iteration 18/20 | SDE loss = 1.584e+00, MSE = 1.721e-04, exotic = 1.3731e-01, time = 0.78
Iteration 19/20 | SDE loss = 1.254e+00, MSE = 1.381e-04, exotic = 1.2782e-01, time = 0.77
Iteration 20/20 | SDE loss = 1.192e+00, MSE = 1.309e-04, exotic = 1.1719e-01, time = 0.77
Epoch 1/1000 | SDE average MSE = 2.032e-02, time = 15.58
Epoch 2/1000 | CV training launched
Iteration 1/20 | CV loss = 2.445e+00, time = 0.79
Iteration 2/20 | CV loss = 2.407e+00, time = 0.79
Iteration 3/20 | CV loss = 2.234e+00, time = 0.79
Iteration 4/20 | CV loss = 2.169e+00, time = 0.79
Iteration 5/20 | CV loss = 2.112e+00, time = 0.80
Iteration 6/20 | CV loss = 2.028e+00, time = 0.79
Iteration 7/20 | CV loss = 1.977e+00, time = 0.80
Iteration 8/20 | CV loss = 1.876e+00, time = 0.81
Iteration 9/20 | CV loss = 1.835e+00, time = 0.80
Iteration 10/20 | CV loss = 1.803e+00, time = 0.79
Iteration 11/20 | CV loss = 1.711e+00, time = 0.79
Iteration 12/20 | CV loss = 1.692e+00, time = 0.79
Iteration 13/20 | CV loss = 1.673e+00, time = 0.79
Iteration 14/20 | CV loss = 1.638e+00, time = 0.80
Iteration 15/20 | CV loss = 1.554e+00, time = 0.79
Iteration 16/20 | CV loss = 1.553e+00, time = 0.80
Iteration 17/20 | CV loss = 1.487e+00, time = 0.79
Iteration 18/20 | CV loss = 1.468e+00, time = 0.80
Iteration 19/20 | CV loss = 1.435e+00, time = 0.79
Iteration 20/20 | CV loss = 1.397e+00, time = 0.79
Epoch 2/1000 | CV average loss = 1.825e+00, time = 15.89
Epoch 3/1000 | CV training launched
Iteration 1/20 | CV loss = 1.361e+00, time = 0.80
Iteration 2/20 | CV loss = 1.345e+00, time = 0.80
Iteration 3/20 | CV loss = 1.326e+00, time = 0.79
Iteration 4/20 | CV loss = 1.276e+00, time = 0.79
Iteration 5/20 | CV loss = 1.258e+00, time = 0.79
Iteration 6/20 | CV loss = 1.254e+00, time = 0.79
Iteration 7/20 | CV loss = 1.219e+00, time = 0.81
Iteration 8/20 | CV loss = 1.195e+00, time = 0.79
Iteration 9/20 | CV loss = 1.165e+00, time = 0.82
Iteration 10/20 | CV loss = 1.159e+00, time = 0.79
Iteration 11/20 | CV loss = 1.151e+00, time = 0.80
Iteration 12/20 | CV loss = 1.099e+00, time = 0.79
Iteration 13/20 | CV loss = 1.090e+00, time = 0.80
Iteration 14/20 | CV loss = 1.074e+00, time = 0.80
Iteration 15/20 | CV loss = 1.041e+00, time = 0.79
Iteration 16/20 | CV loss = 1.028e+00, time = 0.79
Iteration 17/20 | CV loss = 1.022e+00, time = 0.81
Iteration 18/20 | CV loss = 9.952e-01, time = 0.79
Iteration 19/20 | CV loss = 9.753e-01, time = 0.79
Iteration 20/20 | CV loss = 9.536e-01, time = 0.79
Epoch 3/1000 | CV average loss = 1.149e+00, time = 15.93
Epoch 4/1000 | SDE training launched
Iteration 1/20 | SDE loss = 1.355e+00, MSE = 1.467e-04, exotic = 1.1242e-01, time = 0.76
Iteration 2/20 | SDE loss = 1.570e+00, MSE = 1.676e-04, exotic = 1.0640e-01, time = 0.77
Iteration 3/20 | SDE loss = 1.760e+00, MSE = 1.861e-04, exotic = 1.0210e-01, time = 0.76
Iteration 4/20 | SDE loss = 2.027e+00, MSE = 2.125e-04, exotic = 9.8034e-02, time = 0.77
Iteration 5/20 | SDE loss = 2.194e+00, MSE = 2.288e-04, exotic = 9.5012e-02, time = 0.77
Iteration 6/20 | SDE loss = 2.436e+00, MSE = 2.528e-04, exotic = 9.2678e-02, time = 0.77
Iteration 7/20 | SDE loss = 2.714e+00, MSE = 2.803e-04, exotic = 9.0635e-02, time = 0.77
Iteration 8/20 | SDE loss = 2.758e+00, MSE = 2.846e-04, exotic = 8.9066e-02, time = 0.76
Iteration 9/20 | SDE loss = 2.888e+00, MSE = 2.975e-04, exotic = 8.7802e-02, time = 0.77
Iteration 10/20 | SDE loss = 2.969e+00, MSE = 3.055e-04, exotic = 8.6647e-02, time = 0.76
Iteration 11/20 | SDE loss = 3.017e+00, MSE = 3.103e-04, exotic = 8.6663e-02, time = 0.77
Iteration 12/20 | SDE loss = 3.084e+00, MSE = 3.169e-04, exotic = 8.6366e-02, time = 0.77
Iteration 13/20 | SDE loss = 3.188e+00, MSE = 3.273e-04, exotic = 8.6107e-02, time = 0.77
Iteration 14/20 | SDE loss = 3.209e+00, MSE = 3.294e-04, exotic = 8.5875e-02, time = 0.77
Iteration 15/20 | SDE loss = 3.066e+00, MSE = 3.151e-04, exotic = 8.6379e-02, time = 0.78
Iteration 16/20 | SDE loss = 3.208e+00, MSE = 3.294e-04, exotic = 8.6620e-02, time = 0.79
Iteration 17/20 | SDE loss = 3.178e+00, MSE = 3.265e-04, exotic = 8.7715e-02, time = 0.77
Iteration 18/20 | SDE loss = 3.109e+00, MSE = 3.196e-04, exotic = 8.7824e-02, time = 0.77
Iteration 19/20 | SDE loss = 2.853e+00, MSE = 2.942e-04, exotic = 8.9399e-02, time = 0.77
Iteration 20/20 | SDE loss = 2.893e+00, MSE = 2.982e-04, exotic = 9.0181e-02, time = 0.77
Epoch 4/1000 | SDE average MSE = 2.765e-04, time = 15.38
Epoch 5/1000 | SDE training launched
Iteration 1/20 | SDE loss = 2.733e+00, MSE = 2.824e-04, exotic = 9.1504e-02, time = 0.76
Iteration 2/20 | SDE loss = 2.708e+00, MSE = 2.800e-04, exotic = 9.2832e-02, time = 0.76
Iteration 3/20 | SDE loss = 2.572e+00, MSE = 2.666e-04, exotic = 9.4474e-02, time = 0.78
Iteration 4/20 | SDE loss = 2.462e+00, MSE = 2.558e-04, exotic = 9.6469e-02, time = 0.76
Iteration 5/20 | SDE loss = 2.315e+00, MSE = 2.413e-04, exotic = 9.8142e-02, time = 0.77
Iteration 6/20 | SDE loss = 2.100e+00, MSE = 2.200e-04, exotic = 9.9930e-02, time = 0.76
Iteration 7/20 | SDE loss = 2.087e+00, MSE = 2.189e-04, exotic = 1.0198e-01, time = 0.77
Iteration 8/20 | SDE loss = 1.936e+00, MSE = 2.040e-04, exotic = 1.0420e-01, time = 0.76
Iteration 9/20 | SDE loss = 1.827e+00, MSE = 1.932e-04, exotic = 1.0579e-01, time = 0.77
Iteration 10/20 | SDE loss = 1.635e+00, MSE = 1.743e-04, exotic = 1.0866e-01, time = 0.76
Iteration 11/20 | SDE loss = 1.513e+00, MSE = 1.624e-04, exotic = 1.1153e-01, time = 0.76
Iteration 12/20 | SDE loss = 1.566e+00, MSE = 1.679e-04, exotic = 1.1334e-01, time = 0.77
Iteration 13/20 | SDE loss = 1.424e+00, MSE = 1.539e-04, exotic = 1.1557e-01, time = 0.77
Iteration 14/20 | SDE loss = 1.278e+00, MSE = 1.396e-04, exotic = 1.1818e-01, time = 0.76
Iteration 15/20 | SDE loss = 1.226e+00, MSE = 1.347e-04, exotic = 1.2063e-01, time = 0.77
Iteration 16/20 | SDE loss = 1.080e+00, MSE = 1.204e-04, exotic = 1.2373e-01, time = 0.76
Iteration 17/20 | SDE loss = 1.035e+00, MSE = 1.161e-04, exotic = 1.2632e-01, time = 0.76
Iteration 18/20 | SDE loss = 9.857e-01, MSE = 1.115e-04, exotic = 1.2906e-01, time = 0.77
